-BEGIN HEADER-,,,,,,,,,,,Date,T2M,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,01-08-2017,29.59,,Row Labels,Average of T2M
Dates (month/day/year): 08/01/2017 through 08/01/2023 ,,,,,,,,,,,02-08-2017,28.98,,2017,25.98437908
Location: Latitude  10.2122   Longitude 77.9835 ,,,,,,,,,,,03-08-2017,29.33,,2018,27.32868493
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.52 meters,,,,,,,,,,,04-08-2017,29.26,,2019,28.13706849
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,05-08-2017,28.85,,2020,27.47398907
Parameter(s): ,,,,,,,,,,,06-08-2017,29.56,,2021,26.58805479
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,07-08-2017,28.67,,2022,26.63553425
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,08-08-2017,27.89,,Grand Total,27.13628095
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,09-08-2017,28.06,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,10-08-2017,28.06,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,11-08-2017,27.6,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,12-08-2017,28.6,,,
-END HEADER-,,,,,,,,,,,13-08-2017,26.21,,,
YEAR,MO,DY,RH2M,PRECTOTCORR,QV2M,T2M,TS,T2M_RANGE,,,14-08-2017,25.57,,,
2017,11,20,83.94,0.76,17.7,26.05,26.56,8.18,,,04-12-2017,24.48,,,
2017,11,21,88.5,5.12,17.94,25.15,25.24,5.55,,,05-12-2017,24.27,,,
2017,11,22,86.69,1.32,17.4,25.1,25.21,6.68,,,06-12-2017,24.56,,,
2017,11,23,81.56,0.19,16.42,25.38,25.81,10.69,,,07-12-2017,24.36,,,
2017,11,24,81.44,0.08,16.42,25.4,25.65,9.83,,,08-12-2017,23.97,,,
2017,11,25,81.25,0.1,15.99,24.96,25.14,7.71,,,09-12-2017,23.89,,,
2017,11,26,88.56,6.5,16.6,23.79,23.73,4.64,,,10-12-2017,24.47,,,
2017,11,27,91.44,8.78,18.13,24.73,24.63,4.82,,,11-12-2017,24.74,,,
2017,11,28,87.94,2.49,17.64,25.03,25.05,6.16,,,12-12-2017,24.93,,,
2017,11,29,89.94,6.75,17.82,24.71,24.62,5.34,,,13-12-2017,23.86,,,
2017,11,30,94.81,58.3,18.55,24.39,24.15,2.79,,,14-12-2017,24.4,,,
2017,12,1,94.81,24.15,18.49,24.37,24.2,3.55,,,15-12-2017,24.16,,,
2017,12,2,90.31,2.62,17.46,24.36,24.33,5.53,,,16-12-2017,23.98,,,
2017,12,3,88.69,0.87,17.21,24.49,24.58,6.45,,,17-12-2017,23.31,,,
2017,12,4,86.75,0.03,16.78,24.48,24.81,7.92,,,18-12-2017,22.58,,,
2017,12,5,87.38,0.08,16.72,24.27,24.64,8.2,,,19-12-2017,23.37,,,
2017,12,6,88,1.28,17.21,24.56,24.83,6.8,,,20-12-2017,23.83,,,
2017,12,7,87.44,0.77,16.85,24.36,24.64,7.48,,,21-12-2017,22.37,,,
2017,12,8,80.56,0,15.01,23.97,23.89,9.82,,,22-12-2017,23.56,,,
2017,12,9,72.75,0.06,13.43,23.89,23.28,10.77,,,23-12-2017,23.14,,,
2017,12,10,77.62,0.06,14.95,24.47,24.3,8.91,,,24-12-2017,22.87,,,
2017,12,11,83.06,0.05,16.17,24.74,24.73,8.84,,,25-12-2017,24.16,,,
2017,12,12,84.25,0.45,16.72,24.93,25.28,8.54,,,26-12-2017,24.09,,,
2017,12,13,89.88,1.62,16.85,23.86,23.65,3.85,,,27-12-2017,22.94,,,
2017,12,14,84.31,0.04,16.05,24.4,24.58,8.41,,,28-12-2017,21.94,,,
2017,12,15,87.12,0.73,16.6,24.16,24.36,8.58,,,29-12-2017,22.32,,,
2017,12,16,85.12,0.05,15.87,23.98,24.19,8.85,,,30-12-2017,23.13,,,
2017,12,17,83.62,0,14.89,23.31,23.52,10.01,,,31-12-2017,23.3,,,
2017,12,18,79.19,0,13.37,22.58,22.73,11.3,,,01-01-2018,25.01,,,
2017,12,19,80.5,0.55,14.53,23.37,23.79,10.43,,,02-01-2018,25.81,,,
2017,12,20,82.06,0.59,15.14,23.83,24.15,8.84,,,03-01-2018,25.18,,,
2017,12,21,84.56,3.06,14.4,22.37,22.33,7.89,,,04-01-2018,24.44,,,
2017,12,22,83.19,0.16,15.01,23.56,23.8,10.14,,,05-01-2018,22.87,,,
2017,12,23,79.56,0,14.16,23.14,23.37,10.06,,,06-01-2018,22.33,,,
2017,12,24,77.88,0,13.43,22.87,23.28,12.66,,,07-01-2018,22.14,,,
2017,12,25,80.94,0.11,15.2,24.16,24.72,11.34,,,08-01-2018,22.37,,,
2017,12,26,78.06,0.04,14.4,24.09,24.49,10.09,,,09-01-2018,23.32,,,
2017,12,27,80.19,0,13.85,22.94,23.23,9.78,,,10-01-2018,24.69,,,
2017,12,28,77,0,12.51,21.94,22.25,10.81,,,11-01-2018,25.64,,,
2017,12,29,74.81,0,12.21,22.32,22.83,13.48,,,12-01-2018,24.76,,,
2017,12,30,74.31,0,12.76,23.13,23.68,13.34,,,13-01-2018,24.47,,,
2017,12,31,73.56,0,12.57,23.3,23.91,14.32,,,14-01-2018,24.09,,,
2018,1,1,75.25,0,14.65,25.01,25.92,11.96,,,15-01-2018,24.44,,,
2018,1,2,74.75,0,15.26,25.81,26.96,10.84,,,16-01-2018,24.71,,,
2018,1,3,75.25,0,14.77,25.18,26.02,10.07,,,17-01-2018,24.56,,,
2018,1,4,73.44,0,13.67,24.44,25.09,11.23,,,18-01-2018,23.08,,,
2018,1,5,71.12,0,11.9,22.87,23.38,12.52,,,19-01-2018,22.51,,,
2018,1,6,70.81,0,11.35,22.33,23.02,13.78,,,20-01-2018,22.73,,,
2018,1,7,70.81,0,11.23,22.14,22.75,13.77,,,21-01-2018,22.95,,,
2018,1,8,69.56,0,11.05,22.37,22.94,14.02,,,22-01-2018,23.41,,,
2018,1,9,76.81,2.56,13.43,23.32,24.02,12.27,,,23-01-2018,24.19,,,
2018,1,10,81.06,2.04,15.62,24.69,25.38,9.79,,,24-01-2018,24.67,,,
2018,1,11,76.94,0.24,15.44,25.64,26.58,10.84,,,25-01-2018,25.15,,,
2018,1,12,82,0.01,15.99,24.76,25.29,8.42,,,26-01-2018,24.37,,,
2018,1,13,78.69,0,14.83,24.47,25.03,11.66,,,27-01-2018,24.48,,,
2018,1,14,72.19,0,12.94,24.09,24.75,14.2,,,28-01-2018,24.23,,,
2018,1,15,74.25,0,13.61,24.44,25.29,13.12,,,29-01-2018,25.01,,,
2018,1,16,74.06,0,13.92,24.71,25.36,13.07,,,30-01-2018,25,,,
2018,1,17,71.19,0,13.31,24.56,25.32,11.69,,,31-01-2018,24.23,,,
2018,1,18,65.5,0,10.74,23.08,23.83,14.34,,,01-02-2018,23.61,,,
2018,1,19,71.62,0,11.66,22.51,23.32,14.5,,,02-02-2018,23.46,,,
2018,1,20,68.88,0,11.17,22.73,23.65,15.09,,,03-02-2018,23.1,,,
2018,1,21,69.12,0,11.41,22.95,23.88,14.84,,,04-02-2018,23.67,,,
2018,1,22,68.56,0,11.6,23.41,24.52,15.35,,,05-02-2018,25.52,,,
2018,1,23,69.44,0,12.63,24.19,25.34,13.55,,,06-02-2018,26.48,,,
2018,1,24,71,0,13.43,24.67,25.66,12.32,,,07-02-2018,25.9,,,
2018,1,25,66.12,0.02,12.45,25.15,26.01,14.44,,,08-02-2018,25.76,,,
2018,1,26,66.19,0.01,11.78,24.37,25.24,14.65,,,09-02-2018,26.66,,,
2018,1,27,66.75,0,12.21,24.48,25.64,14.49,,,10-02-2018,25.57,,,
2018,1,28,66.06,0.01,12.08,24.23,24.96,11.73,,,11-02-2018,25.51,,,
2018,1,29,64.31,0,11.96,25.01,26.16,13.99,,,12-02-2018,26.08,,,
2018,1,30,62.88,0,11.54,25,26.19,15.45,,,13-02-2018,24.51,,,
2018,1,31,57.38,0,9.83,24.23,25.26,15.47,,,14-02-2018,25.9,,,
2018,2,1,57.75,0,9.22,23.61,24.58,17.41,,,15-02-2018,25.95,,,
2018,2,2,59.06,0,9.4,23.46,24.56,18.06,,,16-02-2018,26.3,,,
2018,2,3,60.5,0,9.4,23.1,24.28,18.17,,,17-02-2018,25.51,,,
2018,2,4,62.88,0,10.44,23.67,25.08,16.82,,,18-02-2018,26.14,,,
2018,2,5,60.31,0,11.54,25.52,26.87,15.24,,,19-02-2018,25.37,,,
2018,2,6,70.88,0.55,15.08,26.48,27.95,12.48,,,20-02-2018,25.64,,,
2018,2,7,79.62,7.2,16.54,25.9,26.66,8.2,,,21-02-2018,25.83,,,
2018,2,8,76.38,2.59,15.56,25.76,26.54,9.94,,,22-02-2018,25.63,,,
2018,2,9,66.69,0.08,14.1,26.66,27.73,12.07,,,23-02-2018,25.56,,,
2018,2,10,65.94,0.01,13.06,25.57,26.41,10.27,,,24-02-2018,26.53,,,
2018,2,11,70.62,0.01,14.04,25.51,26.26,10.04,,,25-02-2018,27.22,,,
